postcode,lsoa_2021_code,pna_locality,local_authority
DT2 9PB,E01020529,Mid,Dorset
DT2 9PD,E01020529,Mid,Dorset
DT2 9PE,E01020529,Mid,Dorset
DT2 9PF,E01020529,Mid,Dorset
DT2 9PG,E01020529,Mid,Dorset
DT2 9PH,E01020529,Mid,Dorset
DT2 9PJ,E01020529,Mid,Dorset
DT2 9PL,E01020529,Mid,Dorset
DT2 9PQ,E01020529,Mid,Dorset
DT2 9PW,E01020529,Mid,Dorset
DT2 9RS,E01020529,Mid,Dorset
DT2 9RT,E01020529,Mid,Dorset
DT2 9RU,E01020529,Mid,Dorset
DT2 9RX,E01020529,Mid,Dorset
DT2 9RY,E01020529,Mid,Dorset
DT2 9RZ,E01020529,Mid,Dorset
DT2 9SN,E01020529,Mid,Dorset
DT2 9SR,E01020529,Mid,Dorset
DT2 9ST,E01020529,Mid,Dorset
DT6 3SG,E01020536,West,Dorset
DT6 3TT,E01020536,West,Dorset
DT6 3TU,E01020536,West,Dorset
DT6 3TX,E01020536,West,Dorset
DT6 3TZ,E01020536,West,Dorset
DT6 3UA,E01020536,West,Dorset
DT6 3UB,E01020536,West,Dorset
DT6 3UD,E01020536,West,Dorset
DT6 3UE,E01020536,West,Dorset
DT6 3UF,E01020536,West,Dorset
DT6 3UG,E01020536,West,Dorset
DT6 3UH,E01020536,West,Dorset
DT6 3UQ,E01020536,West,Dorset
DT6 5EE,E01020536,West,Dorset
DT6 5HH,E01020536,West,Dorset
DT6 5HN,E01020536,West,Dorset
DT6 5HP,E01020536,West,Dorset
DT6 5HQ,E01020536,West,Dorset
DT6 5HR,E01020536,West,Dorset
DT6 5HS,E01020536,West,Dorset
DT6 5HT,E01020536,West,Dorset
DT6 5HU,E01020536,West,Dorset
DT6 5HW,E01020536,West,Dorset
DT6 5HX,E01020536,West,Dorset
DT6 5HY,E01020536,West,Dorset
DT6 5HZ,E01020536,West,Dorset
DT6 5JA,E01020536,West,Dorset
DT6 5JB,E01020536,West,Dorset
DT6 5JD,E01020536,West,Dorset
DT6 5JE,E01020536,West,Dorset
DT6 5JF,E01020536,West,Dorset
DT6 5JG,E01020536,West,Dorset
DT6 5JL,E01020536,West,Dorset
DT6 5JN,E01020536,West,Dorset
DT6 5JQ,E01020536,West,Dorset
DT6 5JS,E01020536,West,Dorset
